timestamp, accx, accy, accz, gyrox, gyroy, gyroz, laccx, laccy, laccz, gravx, gravy, gravz, magfieldx, magfieldy, magfieldz, anglex, angley, anglez, rot0, rot1, rot2, rot3, rot4, rot5, rot6, rot7, rot8, speedgps, latgps, longps, altgps, accgps
153688605,0.019153614,0.17238252,10.563218,-0.0031958907,-0.0021305939,0.0010652969,0.039290395,-0.025655806,0.80711365,0.027381554,0.2265595,9.803995,8.375,56.875,-83.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.82222135,-96.69717512,354.0,10.0
153688605,0.019153614,0.17238252,10.563218,-0.0031958907,-0.0021305939,0.0010652969,-0.008227941,-0.054176986,0.759223,0.027381554,0.2265595,9.803995,8.375,56.875,-83.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.82222135,-96.69717512,354.0,10.0
153688606,0.019153614,0.17238252,10.563218,-0.009587673,-0.014914157,0.0021305939,-0.008227941,-0.054176986,0.759223,0.027381554,0.2265595,9.803995,8.375,56.875,-83.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.82222135,-96.69717512,354.0,10.0
153688607,0.019153614,0.17238252,10.563218,-0.009587673,-0.014914157,0.0021305939,-0.008227941,-0.054176986,0.759223,0.027381554,0.2265595,9.803995,8.4375,56.9375,-83.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.82222135,-96.69717512,354.0,10.0
153688610,0.019153614,0.17238252,10.563218,-0.005326485,-0.02130594,-0.0021305939,-0.008227941,-0.054176986,0.759223,0.027381554,0.2265595,9.803995,8.4375,56.9375,-83.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.82222135,-96.69717512,354.0,10.0
153688615,0.06703765,0.20111294,10.67814,-0.005326485,-0.02130594,-0.0021305939,-0.008227941,-0.054176986,0.759223,0.027381554,0.2265595,9.803995,8.4375,56.9375,-83.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.82222135,-96.69717512,354.0,10.0
153688615,0.06703765,0.20111294,10.67814,-0.005326485,-0.02130594,-0.0021305939,-0.008227941,-0.054176986,0.759223,0.029382596,0.22572497,9.804008,8.4375,56.9375,-83.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.82222135,-96.69717512,354.0,10.0
153688615,0.06703765,0.20111294,10.67814,-0.005326485,-0.02130594,-0.0021305939,0.037655056,-0.024612024,0.87413216,0.029382596,0.22572497,9.804008,8.4375,56.9375,-83.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.82222135,-96.69717512,354.0,10.0
153688615,0.06703765,0.20111294,10.67814,0.0021305939,-0.0042611877,0.0,0.037655056,-0.024612024,0.87413216,0.029382596,0.22572497,9.804008,8.4375,56.9375,-83.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.82222135,-96.69717512,354.0,10.0
153688620,0.06703765,0.20111294,10.67814,0.0021305939,0.012783563,-0.0010652969,0.037655056,-0.024612024,0.87413216,0.029382596,0.22572497,9.804008,8.4375,56.9375,-83.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.82222135,-96.69717512,354.0,10.0
153688625,0.038307227,0.22026655,10.448297,0.0021305939,0.012783563,-0.0010652969,0.037655056,-0.024612024,0.87413216,0.029382596,0.22572497,9.804008,8.4375,56.9375,-83.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.82222135,-96.69717512,354.0,10.0
153688625,0.038307227,0.22026655,10.448297,0.0021305939,0.012783563,-0.0010652969,0.037655056,-0.024612024,0.87413216,0.029040221,0.22608049,9.804001,8.4375,56.9375,-83.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.82222135,-96.69717512,354.0,10.0
153688625,0.038307227,0.22026655,10.448297,0.0021305939,0.012783563,-0.0010652969,0.009267006,-0.0058139414,0.6442957,0.029040221,0.22608049,9.804001,8.4375,56.9375,-83.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.82222135,-96.69717512,354.0,10.0
